ID,Parent ID,Card Type,Interchange Level,Regulated Indicator,Amount,Discount Fees Rate,Discount Fees Amount,Items,Item Fees Rate,Items Fees Amount,Tran Cost,Dial Items Count,Processing Fees Rate Dial,Non Dial Items Count,Processing Fees Rate Non Dial,Processing Fees Amount,Total Due
LK262989,667,InterLink,Qualified Petroleum,0,$403.08,0.80%,$3.23,12,$0.19,$2.27,$0.00,0,$0.00,12,$0.02,$0.24,$5.74
LK262989,667,InterLink,Regulated,1,$747.48,0.05%,$0.37,25,$0.26,$6.49,$0.00,0,$0.00,25,$0.02,$0.50,$7.36
LK262989,667,InterLink,Regulated Small Tkt,1,$432.19,0.13%,$0.58,65,$0.24,$15.26,$0.00,0,$0.00,65,$0.02,$1.30,$17.14
LK262989,667,Maestro,Qualified Petroleum,0,$227.02,0.75%,$1.70,28,$0.20,$5.57,$0.00,0,$0.00,28,$0.02,$0.56,$7.83
LK262989,667,Maestro,Reg Fraud Prevent,2,"$1,132.36",0.05%,$0.54,82,$0.24,$19.91,$0.00,0,$0.00,82,$0.02,$1.64,$22.09
LK262989,667,MasterCard,Bus Data 2 Petro,0,"$1,330.83",2.15%,$28.64,25,$0.10,$2.50,$0.00,0,$0.00,25,$0.02,$0.50,$31.64
LK262989,667,MasterCard,Bus Enh Face to Face Petro,0,$15.67,2.30%,$0.36,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$0.48
LK262989,667,MasterCard,Bus Enh Rate II Petro,0,$630.95,2.28%,$14.39,11,$0.10,$1.10,$0.00,0,$0.00,11,$0.02,$0.22,$15.71
LK262989,667,MasterCard,Bus F2F Petro,0,$113.39,2.16%,$2.45,9,$0.10,$0.90,$0.00,0,$0.00,9,$0.02,$0.18,$3.53
LK262989,667,MasterCard,Bus Lvl3 Data II,0,$405.61,2.32%,$9.42,5,$0.10,$0.50,$0.00,0,$0.00,5,$0.02,$0.10,$10.02
LK262989,667,MasterCard,Bus Lvl4 Data II,0,$312.47,2.42%,$7.56,5,$0.10,$0.50,$0.00,0,$0.00,5,$0.02,$0.10,$8.16
LK262989,667,MasterCard,Bus Standard,0,$17.52,3.08%,$0.54,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$0.66
LK262989,667,MasterCard,BusWrldDat2Petr,0,$167.40,2.30%,$3.85,3,$0.10,$0.30,$0.00,0,$0.00,3,$0.02,$0.06,$4.21
LK262989,667,MasterCard,Commercial Data Rate II,0,$100.00,2.38%,$2.38,1,$0.10,$0.10,$0.00,0,$0.00,1,$0.02,$0.02,$2.50
